p0,% r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
1.3332,45.04771307,48.40939696,1.35E+16,3.41E+16,5.45E+16,7.44E+16,9.37E+16
1.3332,45.21675379,60.5288876,1.36E+16,3.44E+16,5.5E+16,7.5E+16,9.45E+16
1.3332,46.72078404,103.8374791,1.88E+15,4.75E+15,7.59E+15,1.04E+16,1.31E+16
1.3332,46.75,0,7.31E+13,1.68E+14,2.65E+14,3.64E+14,4.64E+14
1.3332,46.75,0.275005839,1.14E+14,2.9E+14,4.82E+14,6.8E+14,8.83E+14
1.3332,46.75,0.660014013,1.92E+14,5.33E+14,9.14E+14,1.31E+15,1.71E+15
1.3332,46.75,1.199025457,3.35E+14,9.53E+14,1.63E+15,2.31E+15,2.99E+15
1.3332,46.75,1.953641479,5.82E+14,1.63E+15,2.72E+15,3.82E+15,4.9E+15
1.3332,46.75,3.010103909,9.59E+14,2.6E+15,4.28E+15,5.95E+15,7.6E+15
1.3332,46.80245545,6.633297227,2.3E+15,5.97E+15,9.67E+15,1.33E+16,1.68E+16
1.3332,46.91246864,74.21119221,1.16E+16,2.92E+16,4.67E+16,6.37E+16,8.03E+16
1.3332,47.0513781,15.49051462,5.5E+15,1.4E+16,2.24E+16,3.07E+16,3.88E+16
1.3332,47.1769671,42.8598208,1.28E+16,3.23E+16,5.17E+16,7.05E+16,8.88E+16
1.3332,47.48159497,90.67734218,6.8E+15,1.7E+16,2.72E+16,3.71E+16,4.68E+16
1.3332,47.53797376,4.478657142,1.5E+15,3.96E+15,6.47E+15,8.93E+15,1.14E+16
1.3332,47.58065208,32.74659837,1.08E+16,2.72E+16,4.35E+16,5.94E+16,7.5E+16
1.3332,47.72727273,104.9728368,1.44E+15,3.63E+15,5.82E+15,7.95E+15,1E+16
1.3332,47.72727273,106.0352865,1.02E+15,2.6E+15,4.17E+15,5.69E+15,7.19E+15
1.3332,47.72727273,106.7941792,7.32E+14,1.86E+15,2.99E+15,4.08E+15,5.16E+15
1.3332,47.72727273,107.3362455,5.35E+14,1.35E+15,2.16E+15,2.95E+15,3.72E+15
1.3332,47.72727273,107.7234356,4E+14,9.9E+14,1.57E+15,2.14E+15,2.69E+15
1.3332,47.72727273,108,3.14E+14,7.58E+14,1.19E+15,1.62E+15,2.03E+15
1.3332,48.6710488,101.0918445,2.95E+15,7.39E+15,1.18E+16,1.61E+16,2.03E+16
1.3332,48.96713908,56.03568677,1.37E+16,3.44E+16,5.51E+16,7.52E+16,9.48E+16
1.3332,49.5000328,64.43953902,1.31E+16,3.31E+16,5.3E+16,7.23E+16,9.12E+16
1.3332,49.72158763,51.66420262,1.35E+16,3.42E+16,5.47E+16,7.47E+16,9.42E+16
1.3332,50.0274104,37.93949876,1.18E+16,2.99E+16,4.79E+16,6.54E+16,8.25E+16
