r,z,plas.ne (1/m^3) @ 13: Time=0.1 s /  p0=1.3332 Pa /  Power=100 W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=200W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=300W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=400W,plas.ne (1/m^3) @ 26: Time=0.1 s / p0=1.3332 Pa / Power=500W
5.468068794,33.91598093,8.27E+16,1.59E+17,2.33E+17,3.06E+17,3.77E+17
5.468068794,33.91598093,1.20E+17,2.30E+17,3.37E+17,4.42E+17,5.47E+17
5.468068794,33.91598093,1.59E+17,3.04E+17,4.45E+17,5.85E+17,7.23E+17
5.492516059,43.80711828,1.36E+16,3.45E+16,5.49E+16,7.43E+16,9.32E+16
5.492516059,43.80711828,5.40E+16,1.08E+17,1.59E+17,2.08E+17,2.57E+17
5.492516059,43.80711828,9.72E+16,1.87E+17,2.73E+17,3.57E+17,4.41E+17
5.492516059,43.80711828,1.41E+17,2.70E+17,3.94E+17,5.17E+17,6.38E+17
5.492516059,43.80711828,1.86E+17,3.55E+17,5.20E+17,6.82E+17,8.43E+17
5.515561311,50.58949206,1.43E+16,3.63E+16,5.76E+16,7.80E+16,9.78E+16
5.515561311,50.58949206,5.68E+16,1.13E+17,1.67E+17,2.18E+17,2.69E+17
5.515561311,50.58949206,1.02E+17,1.96E+17,2.86E+17,3.75E+17,4.62E+17
5.515561311,50.58949206,1.49E+17,2.83E+17,4.14E+17,5.42E+17,6.69E+17
5.515561311,50.58949206,1.96E+17,3.73E+17,5.45E+17,7.15E+17,8.84E+17
5.528953915,57.34132426,1.44E+16,3.65E+16,5.80E+16,7.85E+16,9.84E+16
5.528953915,57.34132426,5.71E+16,1.14E+17,1.68E+17,2.20E+17,2.71E+17
5.528953915,57.34132426,1.03E+17,1.97E+17,2.88E+17,3.77E+17,4.65E+17
5.528953915,57.34132426,1.50E+17,2.85E+17,4.16E+17,5.45E+17,6.73E+17
5.528953915,57.34132426,1.97E+17,3.76E+17,5.49E+17,7.20E+17,8.90E+17
5.541928835,64.07740455,1.39E+16,3.53E+16,5.60E+16,7.58E+16,9.51E+16
5.541928835,64.07740455,5.51E+16,1.10E+17,1.62E+17,2.12E+17,2.62E+17
5.541928835,64.07740455,9.91E+16,1.90E+17,2.78E+17,3.64E+17,4.50E+17
